iter	Logloss
0	0.6790565461
1	0.6661211897
2	0.6535855898
3	0.6412260894
4	0.6297810477
5	0.6181459538
6	0.6066814972
7	0.5958774433
8	0.5853080304
9	0.5748603316
10	0.5646764852
11	0.5551205646
12	0.546262986
13	0.5373513188
14	0.5283704824
15	0.5196837191
16	0.5109523669
17	0.5028209167
18	0.4949284416
19	0.4871217008
20	0.4796727103
21	0.4728468661
22	0.4658836632
23	0.4590185143
24	0.4521797863
25	0.4457525112
26	0.4392187809
27	0.4325061902
28	0.4263869111
29	0.4200825376
30	0.4142349481
31	0.4088574717
32	0.4036091608
33	0.3986197149
34	0.3936194038
35	0.3886614551
36	0.3834666686
37	0.378906814
38	0.3741857625
39	0.3696981348
40	0.3654786641
41	0.3614340162
42	0.3568631777
43	0.3528992768
44	0.3491385493
45	0.3451961117
46	0.3413395269
47	0.337430813
48	0.3340670812
49	0.3307468399
50	0.3269846579
51	0.3236566685
52	0.3205527814
53	0.3171479934
54	0.3141160661
55	0.3106819479
56	0.3079251538
57	0.3051527446
58	0.3025047213
59	0.2999200487
60	0.2975326716
61	0.2946600116
62	0.2920835324
63	0.2894841057
64	0.2871900328
65	0.2850464995
66	0.2830199602
67	0.2811149864
68	0.2790836972
69	0.2768583186
70	0.2746709683
71	0.2727434329
72	0.2709575609
73	0.2692681695
74	0.2674806053
75	0.2658502601
76	0.2642322347
77	0.2627255332
78	0.2608688295
79	0.2593444052
80	0.257730061
81	0.2562470195
82	0.2549904552
83	0.2535308363
84	0.2517419956
85	0.2504107405
86	0.2491733536
87	0.2479020501
88	0.2468187651
89	0.24550786
90	0.2444133091
91	0.2432995065
92	0.2420375839
93	0.2406446108
94	0.2395668178
95	0.2383960768
96	0.2373422111
97	0.2361912857
98	0.2350258734
99	0.2340238994
