iter	Passed	Remaining
0	6	611
1	9	472
2	14	480
3	20	498
4	24	459
5	30	471
6	36	485
7	42	491
8	48	495
9	55	500
10	61	500
11	67	495
12	69	468
13	74	457
14	80	456
15	86	455
16	92	451
17	98	448
18	104	444
19	110	441
20	116	439
21	119	422
22	125	420
23	131	416
24	137	411
25	142	405
26	148	400
27	154	396
28	159	391
29	165	386
30	171	382
31	178	378
32	181	367
33	186	362
34	192	357
35	198	352
36	203	346
37	208	340
38	213	333
39	216	325
40	219	316
41	222	307
42	228	302
43	232	295
44	237	289
45	241	283
46	246	277
47	251	271
48	254	264
49	258	258
50	263	252
51	267	247
52	272	241
53	277	236
54	282	231
55	287	225
56	291	220
57	296	214
58	301	209
59	305	203
60	311	198
61	315	193
62	320	188
63	324	182
64	328	176
65	333	171
66	338	166
67	340	160
68	344	154
69	349	149
70	354	144
71	359	139
72	363	134
73	367	128
74	371	123
75	376	118
76	381	113
77	386	109
78	391	104
79	396	99
80	401	94
81	405	89
82	408	83
83	413	78
84	417	73
85	422	68
86	427	63
87	431	58
88	434	53
89	439	48
90	444	43
91	447	38
92	450	33
93	455	29
94	460	24
95	464	19
96	469	14
97	474	9
98	478	4
99	483	0
